白金级 1,1.14,0.0%,7.1%,156,14,3,31.2%,10分 37秒
钻石级 3,1.55,4.1%,24.5%,184,49,8,26.0%,9分 11秒
白金级 1,1.38,3.9%,32.4%,200,102,7,20.0%,9分 14秒
钻石级 2,1.23,0.0%,20.0%,161,30,5,21.6%,11分 02秒
白金级 2,1.30,3.2%,21.0%,147,62,8,28.2%,9分 59秒
钻石级 3,1.30,5.3%,40.0%,158,75,8,25.0%,11分 13秒
白金级 4,0.30,2.9%,17.6%,57,34,2,10.0%,7分 06秒
黄金级 1,0.79,0.0%,28.9%,115,38,5,30.0%,11分 48秒
白金级 1,0.56,4.8%,39.3%,99,84,4,17.8%,11分 46秒
钻石级 3,HRHLXL520,1.30,5.3,40.0,158,75,8,25.0,11分 13秒
白金级 1,zhufuhengniubi,0.56,4.8,39.3,99,84,4,17.8,11分 46秒
黄金级 1,Z_W_W_Z_S,0.79,0.0,28.9,115,38,5,30.0,11分 48秒
白金级 1,LittleNice_,1.38,3.9,32.4,200,102,7,20.0,9分 14秒
白金级 1,LittleNice_,1.38,3.9,32.4,200,102,7,20.0,9分 14秒
黄金级 1,Z_W_W_Z_S,0.79,0.0,28.9,115,38,5,30.0,11分 48秒
白金级 1,zhufuhengniubi,0.56,4.8,39.3,99,84,4,17.8,11分 46秒
钻石级 3,HRHLXL520,1.30,5.3,40.0,158,75,8,25.0,11分 13秒
白金级 1,LittleNice_,1.38,3.9,32.4,200,102,7,20.0,9分 14秒
钻石级 3,HRHLXL520,1.30,5.3,40.0,158,75,8,25.0,11分 13秒
白金级 1,zhufuhengniubi,0.56,4.8,39.3,99,84,4,17.8,11分 46秒
黄金级 1,Z_W_W_Z_S,0.79,0.0,28.9,115,38,5,30.0,11分 48秒
黄金级 1,Z_W_W_Z_S,0.79,0.0,28.9,115,38,5,30.0,11分 48秒
白金级 1,zhufuhengniubi,0.56,4.8,39.3,99,84,4,17.8,11分 46秒
白金级 1,LittleNice_,1.38,3.9,32.4,200,102,7,20.0,9分 14秒
钻石级 3,HRHLXL520,1.30,5.3,40.0,158,75,8,25.0,11分 13秒
